SID,entry,evaluation,replacement
10806,antelope,FOUND,antelope
10806,deer,FOUND,deer
10806,kangaroo,FOUND,kangaroo
10806,kolabear,REPLACE,koala bear
10806,raccoon,FOUND,raccoon
10806,opossum,FOUND,opossum
10826,dog,FOUND,dog
10826,cat,FOUND,cat
10826,deer,FOUND,deer
10826,lion,FOUND,lion
10826,tiger,FOUND,tiger
10826,horse,FOUND,horse
10826,cheetah,FOUND,cheetah
10826,panther,FOUND,panther
10826,camel,FOUND,camel
10826,bird,FOUND,bird
10826,owl,FOUND,owl
10826,elephant,FOUND,elephant
10826,elk,FOUND,elk
10826,moose,FOUND,moose
10826,deer,FOUND,deer
10826,pigeon,FOUND,pigeon
10826,rat,FOUND,rat
10826,donkey,FOUND,donkey
10826,ostrich,FOUND,ostrich
6,lion,FOUND,lion
6,bear,FOUND,bear
6,cheetah,FOUND,cheetah
6,cub,FOUND,cub
6,deer,FOUND,deer
6,doe,FOUND,doe
6,tiger,FOUND,tiger
6,dolphinshark,EXCLUDE,EXCLUDE
6,polarbear,REPLACE,polar bear
6,falcon,FOUND,falcon
6,eagle,FOUND,eagle
6,crane,FOUND,crane
6,dog,FOUND,dog
6,cat,FOUND,cat
6,moose,FOUND,moose
6,rabbit,FOUND,rabbit
6,rat,FOUND,rat
6,koala,FOUND,koala
6,kangaroo,FOUND,kangaroo
6,ocelot,FOUND,ocelot
6,tazmaniandevil,REPLACE,tasmanian devil
6,hamster,FOUND,hamster
6,gerbil,FOUND,gerbil
6,guineapig,REPLACE,guinea pig
6,snake,FOUND,snake
6,parakeet,FOUND,parakeet
6,chinchilla,FOUND,chinchilla
6,cheetah,FOUND,cheetah
6,horse,FOUND,horse
6,elephant,FOUND,elephant
6,rooster,FOUND,rooster
7,koala,FOUND,koala
7,panda,FOUND,panda
7,chimpanzee,FOUND,chimpanzee
7,monkey,FOUND,monkey
7,ape,FOUND,ape
7,gorilla,FOUND,gorilla
7,camel,FOUND,camel
7,lion,FOUND,lion
7,seal,FOUND,seal
7,walrus,FOUND,walrus
7,polarbear,REPLACE,polar bear
7,blackbear,REPLACE,black bear
7,brownbear,REPLACE,brown bear
7,grizzlybear,REPLACE,grizzly bear
7,fish,FOUND,fish
7,salmon,FOUND,salmon
7,trout,FOUND,trout
7,crappie,FOUND,crappie
7,whale,FOUND,whale
7,shark,FOUND,shark
7,shrimp,FOUND,shrimp
7,crayfish,FOUND,crayfish
7,crawfish,FOUND,crawfish
7,crab,FOUND,crab
7,lobster,FOUND,lobster
7,giraffe,FOUND,giraffe
7,gazelle,FOUND,gazelle
7,hyena,FOUND,hyena
7,elephant,FOUND,elephant
7,rhinoceros,FOUND,rhinoceros
7,zebra,FOUND,zebra
8,cat,FOUND,cat
8,dog,FOUND,dog
8,guineapig,REPLACE,guinea pig
8,rat,FOUND,rat
8,snake,FOUND,snake
8,lizard,FOUND,lizard
8,horse,FOUND,horse
8,goat,FOUND,goat
8,pig,FOUND,pig
8,sheep,FOUND,sheep
8,bison,FOUND,bison
8,antelope,FOUND,antelope
8,crocodile,FOUND,crocodile
8,fish,FOUND,fish
8,shark,FOUND,shark
8,kangaroo,FOUND,kangaroo
8,wombat,FOUND,wombat
8,platypus,FOUND,platypus
8,rhinoceros,FOUND,rhinoceros
8,dinosaur,FOUND,dinosaur
8,pandabear,REPLACE,panda bear
8,blackbear,REPLACE,black bear
8,grizzlybear,REPLACE,grizzly bear
8,kangaroo,FOUND,kangaroo
8,zebra,FOUND,zebra
8,siberiantiger,REPLACE,siberian tiger
8,regulartiger,EXCLUDE,EXCLUDE
8,anythingalbino,EXCLUDE,EXCLUDE
9,animal,EXCLUDE,EXCLUDE
9,tiger,FOUND,tiger
9,lion,FOUND,lion
9,gazelle,FOUND,gazelle
9,cheetah,FOUND,cheetah
9,humanbeings,REPLACE,human being
9,mastif,REPLACE,mastiff
9,pugs,REPLACE,pug
9,pomeranian,FOUND,pomeranian
9,osikat,REPLACE,sika
9,ferret,FOUND,ferret
9,weasle,REPLACE,weasel
9,rats,REPLACE,rat
9,cockroach,FOUND,cockroach
9,spider,FOUND,spider
9,elephant,FOUND,elephant
9,rhino,FOUND,rhino
9,komotodragon,REPLACE,komodo dragon
